address,symbol,name,decimals
0x478b95c1a32a8b8123baf59436f403fcc994dce2,SLM,Solomon,6
0xd8a2ae63fd33b038dd9fef43e7179d8c9be8e416,BYC,BaoYuanChain,8
0xb83b9816307c06cc694022988311e4ce23034093,EYC,EYECOIN,8
0x46209fff34bc99000dd86a466c77b6db4550d553,EXC,Exuan Coin,8
0xcebe0deed5da0aacffd10fd505b0347e34204d2e,NGBP,NGBP,16
0x8633fa0445c379f755973f36ff53564b5bbda9c9,NEOM,NEOMcoin,17
0x30223c7af37d30ea5a4acfce96b57f43537e77cd,VSHARE,Virtual Augur Share,18
0x39287fe14d083ba9e9ef888f82d5d693c181c99d,,,18
0x4ed7bad948273fd22b0cb1564ba88bc70e47ffa4,XJ,XJ Coin,18
0x10cff41a52918a11c955d696d45adff5a834128a,BCaaS,Blockchain As A Service,18
0x9fe8df7cecbb017f2bf6b54b66dd82a189154be7,EURD,EUR Daocoin,18
0x9b8c7e4e616cce3ab3f4528714d24880a517dc15,XYH,XYH,18
0x0cbdc0ca734e02835a3eeacdfabb619c5ce9d820,ICRM,,18
0xa171f40e255fb339ee9fde71acf31eb241362d62,TICC,Treasure chain,18
0xf62770069212ada2e3348afa7471655d2edb8e52,AUD,Audit chain,18
0x184d610b16bbb7aba32b06c1d6c1822e004f374e,WODT,Wing of Dream Token,18
0xc21245787058562d9b35644d0da128c5ca14e841,KY,KaiyuanChain,18
0x4801fb60a6b0fd6d378d14ee51e64a3fc3f4e718,FST,Fintechstar Token,18
0x2506ce2d4f2d0950894336463ed7ee00ca5b3f74,EOOB,ecologyblock,18
0x7a09a51fe9ffc72aa4c5c6fc00caa93ff586a0f4,GBX,GBX TOKEN ,18
0x56918835db1a723b235c0ce594a53781c0bde8a4,mnte,Montage,18
0x8b73c84ecc9e2f723463e3b839f7adb8963a7d58,LDX,LondonKoin,18
0xf310d06a54eda5d5ae204b0aa9b5e207972d80b9,MIC,Micoin,18
0xbee64457b5a0a01ee17ce091736313234d66e6c7,NGO,BitcoinCash.ngo,18
0x685fe55d9f555be8f7418e903b4902c0732cbf53,HYDRA 2.0,HYDRA 2.0,18
0xbdb7cc2bb2aa27b97f0c98604e39220641d58b49,APF,APEFROG,
0xf420d2543dfa7f1629ddfc0e66e7b329a13c34fb,CTN,FomoFrogs,
0xa904846491e91af3a92643ea458c8728af7d805c,{},Software Licences,
0xe6609f75fd14562125dda0e7ad353a653ca11377,PCT,Pirate Conquest Token,
0xfb4ebcf2d4c629b1efadabbccc46520325457ce6,SHAZ,SHAzard.eu Token,0
0x6a37df1224caf4f1975dbacf5286e4f5a605889e,UBET,UBetCoin,0
0xcc2b4075c8a61b5cc133205666b80ce0bf0c8684,HNGMT,HINGMINT,2
0x3a862ac281abd6709a977146d6bf2e1950495795,VRRT,VRRCOIN,2
0x217fdc3f4f5061bf75a0c1c8515c8330926277da,BFC,blockchain financial capital,2
0xa7370d1bc230028c0b7303f255caf2f87f785ea8,USD,USD/ETH,4
0x9b437c7d5366aa94ba7d85015335b36703821fcd,zos,ZOS Token,4
0xda81431f26be36d9b45d13c5d0914e58bbc879e4,JYTB,金源通宝,4
