transaction_hash,transaction_index,from_address,to_address,value,input,output,trace_type,call_type,reward_type,gas,gas_used,subtraces,trace_address,error,status,block_timestamp,block_number,block_hash,trace_id
0x7945d4b899ee22ee460b70d5447991104c6abed49ffb20669a525c45f4012c89,123,0x8f1ad711b18d9e1aa604b189806310e520e2c34a,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"6,2,0",,1,1/16/2020 10:24:35,9291641,0x841badca32bb60dd99d0f300ad6b0faa9d1f0e92e9cdd3cb02618984a36c8627,suicide_0x7945d4b899ee22ee460b70d5447991104c6abed49ffb20669a525c45f4012c89_6_2_0
0xa5616d437b5b19e700540856b026e0a74b12c83a7fecc7d3f48fb05a49c99d4f,10,0xa68b97271246eb66ad4f28e091a82cd474c0187b,0x0000000000c90bc353314b6911180ed7e06019a9,0,,,suicide,,,,,0,"5,0",,1,1/16/2020 1:02:24,9289088,0xc689f0999b38e769e4e213673e13eec77dd233146d5a1cb1f96aa4bc8de8fc98,suicide_0xa5616d437b5b19e700540856b026e0a74b12c83a7fecc7d3f48fb05a49c99d4f_5_0
0xa389f971519f6ccdd17f44e337756791c94987b123849838487938b05f0cb8fd,141,0xf4f6556ca3e0a5a708e02d9ee04a4edeb62f5c6b,0x0000000000c90bc353314b6911180ed7e06019a9,0,,,suicide,,,,,0,"3,0",,1,1/16/2020 12:19:03,9292176,0xe0778a74dabb2a72f90d0d229dc9b151fc1abccabc79893953ccbbf1a2bbed21,suicide_0xa389f971519f6ccdd17f44e337756791c94987b123849838487938b05f0cb8fd_3_0
0xc26bb1d30db37ab9c3cbb5ce1979eab8e10b86031564c6a74d751eb7cccaef18,110,0x000f04dd3824bb8bda2af5ba7b467ab668056ced,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"3,3,0",,1,1/16/2020 6:42:18,9290629,0xbe6b90b4ff10d7facde9f21efe866a80cec01f338ed390bd089bff3dac432125,suicide_0xc26bb1d30db37ab9c3cbb5ce1979eab8e10b86031564c6a74d751eb7cccaef18_3_3_0
0x6500f2fa6d4d480c52020574a72b1f9aff793de355ab2639028bf1f06bf9c7b0,25,0x2dc0b070719af27d12d2db87dbb03d4acf1cd901,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"6,6,0",,1,1/16/2020 15:03:29,9292901,0xf5c09757c9cabb65a99a9a91e37535dd05e4bd025f28d299bf2aef0994abcb2f,suicide_0x6500f2fa6d4d480c52020574a72b1f9aff793de355ab2639028bf1f06bf9c7b0_6_6_0
0x6500d78d51a5d6171542c878ce7aa3d83667c785cf08fd8397ccca7f89153f4e,76,0xceecd1dd2b8dfb5041cbeed7d6db2a774e7b7189,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"2,5,0",,1,1/16/2020 9:34:19,9291412,0xa35194a2c09598c9ef37430f8ee780fcf4e0dc293ac5293186582df0a1cc167b,suicide_0x6500d78d51a5d6171542c878ce7aa3d83667c785cf08fd8397ccca7f89153f4e_2_5_0
0x54ae1ffb0359f80671cf73996bffc6ffaa5eb18eef0b6f5eea5fcee98210fd4b,63,0x1d0a2543266ebb39127c7a621a0127ee4a37ceb7,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"0,8,15,0",,1,1/16/2020 0:10:18,9288846,0xd12f70ffd5193bdf23782c499d6613a7b390519990bc6147e789b929a4b89563,suicide_0x54ae1ffb0359f80671cf73996bffc6ffaa5eb18eef0b6f5eea5fcee98210fd4b_0_8_15_0
0x7bf85b94310c73479b81805e0862b645b313e2fd64a13f7c891d4c1864647370,21,0xf46064631c66470e6051a44ccf85cbb50caa80a9,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"5,4,0",,1,1/16/2020 18:56:27,9293948,0x040815f1e169e81dbaa356133c4890fdb11e1e212c21cd24785e2096378b9a46,suicide_0x7bf85b94310c73479b81805e0862b645b313e2fd64a13f7c891d4c1864647370_5_4_0
0xc0727abe697d302e95b9695b6ba1af78a620bf9ba84d9c5438dfd11d027a936c,19,0xc6b2a2d19f48b5d3d953dfc9eb658e369f735e0e,0x8018280076d7fa2caa1147e441352e8a89e1ddbe,0,,,suicide,,,,,0,"18,0",,1,1/16/2020 15:01:27,9292890,0x7eb48d8b237669342c11855b6ec6c6d2a58b4748bbede5d75ced8f2f800b713b,suicide_0xc0727abe697d302e95b9695b6ba1af78a620bf9ba84d9c5438dfd11d027a936c_18_0
0x923fb2b754a2d845525d82df2426f3c53b0965cad8f2a00e00a0701d3e6176b5,57,0x2ac89d6f7ec0b85781c8619a8ec971a1a941fed8,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"2,6,0",,1,1/16/2020 10:54:26,9291781,0x254a17f607a6b74b79d640a7044013fe1d54c1e3c9f16abea2da5b4d32e18b7a,suicide_0x923fb2b754a2d845525d82df2426f3c53b0965cad8f2a00e00a0701d3e6176b5_2_6_0
0x6a4f5f199b843fb7562ef17a63bf33051102bd6e3c91998759f88336ba8ac786,1,0x17bd07b5f8bc52057914c4a5a06bcbeed14bd413,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"2,16,0",,1,1/16/2020 21:06:21,9294536,0xb31006d82b1811b6c8a0a52f892e81c7ba315f36af530286f33291a274aaa8f5,suicide_0x6a4f5f199b843fb7562ef17a63bf33051102bd6e3c91998759f88336ba8ac786_2_16_0
0x28cb725fede4e14ccfe9c4448d116b7f97ef0ee34dd1567afe04f0301fede965,77,0x05b0fba2d6f045f075c8b41254d92ac25bb7ccbb,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"6,3,0",,1,1/16/2020 15:54:45,9293114,0xcb2cbf41c18711786837d90d82bcd4412ffa4d06c97ebf04f6385d2737240682,suicide_0x28cb725fede4e14ccfe9c4448d116b7f97ef0ee34dd1567afe04f0301fede965_6_3_0
0x69b0405a6c68651ddb17c956724da52842d42091ebeedb20b077723e02de9575,58,0xeff20f7c040764506d2510b06a7bac4e7d2a4f67,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"1,3,7,0",,0,1/16/2020 10:32:43,9291684,0x61c24d6f416ffb9c1ac8a30d4b8a0917979e89861dfb27e0eebb0fc27a7f00d5,suicide_0x69b0405a6c68651ddb17c956724da52842d42091ebeedb20b077723e02de9575_1_3_7_0
0xe5bd121051e7a30231d8072bf26bc2dbd49a6d2809abd7ff896bcf5af35e6aa8,25,0xa89ca989500095d54bf1fe22b35c6868cd293bbe,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"1,7,0",,1,1/16/2020 1:46:44,9289287,0x7f2065f590fae86090983fbe75326228acaca6a5e077a72c6be132a1005d9d33,suicide_0xe5bd121051e7a30231d8072bf26bc2dbd49a6d2809abd7ff896bcf5af35e6aa8_1_7_0
