address,symbol,name,decimals,total_supply,block_timestamp,block_number,block_hash
0xb3952c21666a5f5f311fd4c0194f8eb928784cbb,CK,CryptoKitties,,0,2/6/2018 12:35:41,5041101,0xf8e98c99308f4fea0ad2c3a4dd5a4dbf36d7340efe6e4eaf0d72dd7b376a6809
0x8ce3c18e21a768a7f5b667d4984baadf818f3acd,DRCT,DRCT Token,,0,11/8/2018 21:07:28,6668460,0x96b6a8e199a15c4366e6de9d10f3730cea96e9baf312d7603e1bfb45fd0b7619
0xef8d7d659ef042779a4c0f681886f6346d10d3c4,DG,Pet,,0,9/20/2018 7:49:20,6365338,0x9a1045abb01d9d92a3f0c45dd57ac2d5cc9849a0208e495af5a635de3be4dd8b
0xa0816f18691189e2ea939e7857043b8b5e6c7272,Athlete,CryptoFantasy,,0,3/3/2018 1:58:35,5186376,0x6a86edcdd0a18b6a0723770ba86dc187d7cbd6287575ad9e32c1a38266e325d1
0xdf25814954010bec9115daab2a8e8d0b4d0809eb,,,,0,10/18/2018 22:20:54,6540556,0xb948e6d02eb092b30ecb0904eca127819f66b6ba5ee83b71ed89852c66133af5
0x7b811ae95fff15a3100cd39220af69faf523c2d9,,,,0,9/12/2018 18:23:04,6319542,0x00f4461db3fa5d98259dbb39e1342a009e757efe067d1ce2d1496c5d363cea8b
0x0819ceafbd687645ef91a6ec7ff9956a8fea355b,LMNFT,Project Maelstrom,,0,7/25/2022 5:34:05,15209827,0x0f22c2ec6b69dc9e2f51b030898f463c6008eb900df1d69dd56c9f37f78254f4
0xe12c4e050860bfe13047739b31e97eded939a569,,,,0,4/7/2020 5:32:54,9823118,0x6854006985f54aabccd773469edc6a24c824cc3f7772a32c6db156a0eabaf5ab
0x253d043f494c033cc6d51455eb6e18fe2d3d6faa,,,,0,8/26/2018 20:55:11,6219060,0xc12904792cc97d38a9d9db35ae1484c0fdd7d7234d7b00a3fb39628d146da7bf
0xfc52831f54b282a4186368266a8e6440c2bcaa55,Ho,Honeysuckle,,0,6/5/2019 7:01:26,7897747,0x2999958d8736d0094766da39dd880572f538bb5aa8d665506254d0623e60b7ab
0x224af8a81b5f44b0032456725d97fb760543bbe6,,,,0,6/4/2019 5:12:13,7890889,0x7bb16a44b6c26fe1e20b4ac573018704f8080cc3236fa1784d48e44b4fe4114b
0x2ec2166fd4b64d1e90a4ef76988a870a482075a8,,,,0,11/22/2018 8:49:10,6750705,0xbefa189d56276321f5ecf81f14e1e00b1de1c27632729356d1cf6a2c4df021ff
0xab64819c603ae5374fa5c0af5b4842cc70c5e7c0,DEADSUN,Dead Sun,,0,10/6/2022 5:36:59,15687020,0x4650dae697fec79ef9f66bb08329eba865cc2769df5bf8b2a2d9fcac67ad86d7
0x4ac9045cc909ea80a515003d0b9af799aee0dbc7,PoPT,Proof Of Purchase Token,,0,9/15/2018 5:26:17,6334421,0x36db3b41dc688abbf0b52b975c5439a529ff8896bd1278d6d750f3e8767bfc37
0x549f38a8d85a51a9749f487afb8d859081969388,,,,0,2/6/2018 12:30:59,5041079,0x00dea85b8f8c5692295fb2bc6fc19b33c5096aa45ecbe640b10b6fc49857dc8d
0xb415e3279aa0ad5ac53e5c130e79f7ff47991de7,GCATS,Gundam Cats,,0,5/22/2023 4:25:11,17312448,0x894fc96dc1941f3bf09affb63411c952522052c0b59b3cbbd6670c0e29997335
0xd866bed548955ed277b10358f874ec895d306595,OBN,ODD BEARS NEST,,0,6/23/2023 17:59:59,17543912,0xcdf268de445c4bac522df0c4178b60fc6e140423753a989416fe6d00ef7a5d84
0x6512703abc809b88921703b7572a53c652f96371,,,,0,6/26/2018 22:33:35,5859872,0x7fcf4377f417a69ed31f5b226acf6673f54b96aa436bc2fecbcafea198327002
0xc0ebb94da4f288b15de6338b3e9040a3a7d1d044,JPS,Japan Souls,,0,3/31/2022 20:29:16,14496098,0x55b434b98e0825c6d42d5d05449f4c1e5c991fdaea8ad43f74e672adb95300db
0x67fc46ed71242669b42bb175b355ada67ce200cc,CBS,CrazyBirds,,0,11/13/2022 3:03:47,15958295,0xcefd3a20f22adec7f19db6c2c29163220aca9932f4dfaf3ef9ebdcda66cb067a
0xb3b8d8ae48d358423da84d37aeebcb085af6270c,GLTCH,GLTCH by Nai,,0,12/10/2022 23:31:59,16157608,0xa61fada699a5be0d3b7574a09d3150c1e067809d0f68490e588b3d4929bcbdad
0x88b2c8c6a501d261ddedb9fd3ed502edb40b2a93,blockv:package:test,blockv.krankikom::demo::ETH::package::v1:Variation::v1,,0,8/9/2018 16:12:20,6117254,0xcde57a4c698edd29e9ba649c915e3cd0ca67caef7455f1fa69cc86bb5af6e787
0x9a91dc1b2d50b4fa5fecfe78ddf5d8b223e7f3a7,,,,0,8/27/2018 21:56:49,6225236,0x9ee28ce2e05df18a3075ed92a52384faad7841c6dc7be2e6f7c177044ebfdde8
